session_date,entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl,level_date,cum_pnl
2023-03-01,2023-03-01 09:32:00-05:00,2023-03-01 11:11:00-05:00,long,12041.934029496524,11931.934029496524,SL,-110.0,2023-02-21,-4788.27
2023-03-02,2023-03-02 09:55:00-05:00,2023-03-02 10:42:00-05:00,long,11896.630632581931,11896.630632581931,BE,0.0,2023-02-28,-4788.27
2023-03-03,2023-03-03 09:35:00-05:00,2023-03-03 15:00:00-05:00,long,12122.640010897961,12304.75,cutoff,182.11,2023-02-10,-4606.16
2023-03-06,2023-03-06 09:34:00-05:00,2023-03-06 13:09:00-05:00,long,12377.141552724202,12377.141552724202,BE,0.0,2023-02-15,-4606.16
2023-03-07,2023-03-07 09:33:00-05:00,2023-03-07 15:00:00-05:00,short,12335.463802876478,12146.5,cutoff,188.96,2023-02-22,-4417.2
2023-03-08,2023-03-08 09:31:00-05:00,2023-03-08 15:00:00-05:00,long,12200.096507801894,12179.75,cutoff,-20.35,2023-02-13,-4437.55
2023-03-09,2023-03-09 09:47:00-05:00,2023-03-09 10:32:00-05:00,short,12315.940277770056,12315.940277770056,BE,0.0,2023-02-27,-4437.55
2023-03-09,2023-03-09 10:33:00-05:00,2023-03-09 13:43:00-05:00,short,12335.463802876478,12153.75,TP,181.71,2023-02-22,-4255.84
2023-03-10,2023-03-10 09:31:00-05:00,2023-03-10 09:46:00-05:00,long,11990.36684265277,11880.36684265277,SL,-110.0,2023-03-08,-4365.84
2023-03-13,2023-03-13 09:31:00-04:00,2023-03-13 11:02:00-04:00,long,11892.536197123522,12087.5,TP,194.96,2023-02-22,-4170.88
2023-03-14,2023-03-14 09:35:00-04:00,2023-03-14 10:34:00-04:00,short,12213.8751113092,12323.8751113092,SL,-110.0,2023-03-10,-4280.88
2023-03-15,2023-03-15 09:31:00-04:00,2023-03-15 10:59:00-04:00,short,12238.518763479362,12238.518763479362,BE,0.0,2023-03-01,-4280.88
2023-03-16,2023-03-16 09:31:00-04:00,2023-03-16 10:47:00-04:00,short,12344.409548221498,12454.409548221498,SL,-110.0,2023-03-03,-4390.88
2023-03-20,2023-03-20 09:38:00-04:00,2023-03-20 11:29:00-04:00,short,12574.322326522724,12684.322326522724,SL,-110.0,2023-03-16,-4500.88
2023-03-21,2023-03-21 09:32:00-04:00,2023-03-21 13:28:00-04:00,short,12804.894940581522,12804.894940581522,BE,0.0,2023-03-20,-4500.88
2023-03-23,2023-03-23 10:27:00-04:00,2023-03-23 14:45:00-04:00,short,12950.11013849888,12763.5,TP,186.61,2023-03-17,-4314.27
2023-03-24,2023-03-24 09:34:00-04:00,2023-03-24 10:26:00-04:00,short,12804.894940581522,12804.894940581522,BE,0.0,2023-03-20,-4314.27
2023-03-27,2023-03-27 09:46:00-04:00,2023-03-27 15:00:00-04:00,short,12950.11013849888,12856.25,cutoff,93.86,2023-03-17,-4220.41
2023-03-28,2023-03-28 09:33:00-04:00,2023-03-28 15:00:00-04:00,long,12736.870630244797,12682.75,cutoff,-54.12,2023-03-27,-4274.53
2023-03-30,2023-03-30 09:32:00-04:00,2023-03-30 10:21:00-04:00,short,13064.150579592297,13064.150579592297,BE,0.0,2023-03-22,-4274.53
2023-03-30,2023-03-30 10:24:00-04:00,2023-03-30 15:00:00-04:00,short,13081.252403799639,13066.25,cutoff,15.0,2023-03-23,-4259.53
