level_id,side,touched_at,reason
901,lower,2021-07-08 05:22:00-04:00,sal_active
900,lower,2021-07-08 06:15:00-04:00,sal_active
901,upper,2021-07-12 09:32:00-04:00,position_open
923,lower,2021-08-12 09:45:00-04:00,position_open
921,lower,2021-08-19 02:58:00-04:00,position_open
921,upper,2021-08-23 09:37:00-04:00,position_open
931,upper,2021-08-23 09:37:00-04:00,position_open
918,upper,2021-08-23 09:40:00-04:00,sal_active
922,upper,2021-08-23 09:46:00-04:00,sal_active
920,upper,2021-08-23 09:50:00-04:00,sal_active
934,upper,2021-08-23 10:02:00-04:00,sal_active
915,upper,2021-08-23 10:05:00-04:00,sal_active
917,upper,2021-08-23 10:05:00-04:00,sal_active
929,upper,2021-08-23 10:25:00-04:00,sal_active
923,upper,2021-08-23 10:33:00-04:00,sal_active
927,upper,2021-08-23 10:34:00-04:00,sal_active
924,upper,2021-08-23 10:39:00-04:00,sal_active
925,upper,2021-08-23 10:39:00-04:00,sal_active
938,upper,2021-08-30 09:37:00-04:00,position_open
937,upper,2021-08-30 09:38:00-04:00,sal_active
939,upper,2021-08-30 10:06:00-04:00,sal_active
954,lower,2021-09-19 22:16:00-04:00,position_open
953,lower,2021-09-19 22:44:00-04:00,sal_active
937,lower,2021-09-19 22:46:00-04:00,sal_active
950,lower,2021-09-19 22:48:00-04:00,sal_active
936,lower,2021-09-20 02:44:00-04:00,sal_active
952,lower,2021-09-20 04:02:00-04:00,sal_active
938,lower,2021-09-20 05:25:00-04:00,sal_active
939,lower,2021-09-20 07:32:00-04:00,sal_active
957,upper,2021-09-23 05:08:00-04:00,position_open
958,lower,2021-09-28 03:47:00-04:00,position_open
960,lower,2021-09-28 05:55:00-04:00,position_open
957,lower,2021-09-28 10:20:00-04:00,sal_active
956,lower,2021-09-28 10:21:00-04:00,sal_active
962,lower,2021-09-30 21:11:00-04:00,sal_active
965,upper,2021-10-07 09:59:00-04:00,sal_active
964,upper,2021-10-07 10:00:00-04:00,sal_active
998,upper,2021-11-19 09:56:00-05:00,sal_active
991,upper,2021-11-19 09:58:00-05:00,sal_active
998,lower,2021-11-23 10:59:00-05:00,sal_active
1008,upper,2021-12-07 09:54:00-05:00,sal_active
1014,lower,2021-12-14 04:52:00-05:00,position_open
1011,lower,2021-12-14 09:30:00-05:00,sal_active
1021,upper,2021-12-22 09:47:00-05:00,position_open
1005,upper,2021-12-27 10:24:00-05:00,sal_active
1014,upper,2021-12-27 10:33:00-05:00,sal_active
1018,upper,2021-12-28 03:28:00-05:00,position_open
1006,upper,2021-12-28 04:04:00-05:00,position_open
1024,upper,2021-12-28 04:38:00-05:00,sal_active
1030,lower,2022-01-04 10:55:00-05:00,position_open
1026,lower,2022-01-04 10:56:00-05:00,position_open
1029,lower,2022-01-05 09:34:00-05:00,position_open
1033,lower,2022-01-10 07:31:00-05:00,position_open
1021,lower,2022-01-10 07:33:00-05:00,position_open
1032,lower,2022-01-10 07:59:00-05:00,position_open
1020,lower,2022-01-10 09:31:00-05:00,sal_active
1035,lower,2022-01-18 04:19:00-05:00,sal_active
1069,upper,2022-03-01 02:08:00-05:00,position_open
1069,lower,2022-03-03 19:55:00-05:00,sal_active
1082,upper,2022-03-18 10:04:00-04:00,position_open
1073,upper,2022-03-18 10:11:00-04:00,position_open
1092,lower,2022-04-01 09:52:00-04:00,position_open
1093,lower,2022-04-06 07:09:00-04:00,position_open
1088,lower,2022-04-06 09:44:00-04:00,sal_active
1089,lower,2022-04-06 09:45:00-04:00,sal_active
1096,lower,2022-04-10 20:00:00-04:00,position_open
1097,lower,2022-04-10 21:55:00-04:00,sal_active
1098,lower,2022-04-11 04:25:00-04:00,sal_active
1085,lower,2022-04-11 09:33:00-04:00,sal_active
1084,lower,2022-04-11 10:46:00-04:00,sal_active
1129,upper,2022-05-26 09:56:00-04:00,position_open
1128,upper,2022-05-26 10:19:00-04:00,sal_active
1118,upper,2022-05-29 22:22:00-04:00,sal_active
1119,upper,2022-05-30 00:38:00-04:00,sal_active
1136,lower,2022-06-10 08:30:00-04:00,position_open
1139,lower,2022-06-10 08:30:00-04:00,position_open
1143,lower,2022-06-16 10:05:00-04:00,position_open
1146,upper,2022-06-21 09:35:00-04:00,position_open
1148,upper,2022-06-21 09:35:00-04:00,position_open
1151,upper,2022-06-24 09:32:00-04:00,sal_active
1155,lower,2022-06-30 10:02:00-04:00,position_open
1161,lower,2022-07-13 08:30:00-04:00,position_open
1164,lower,2022-07-13 08:30:00-04:00,position_open
1153,upper,2022-07-20 10:47:00-04:00,sal_active
1183,lower,2022-08-09 09:53:00-04:00,position_open
1183,upper,2022-08-11 10:15:00-04:00,position_open
1191,lower,2022-08-19 10:09:00-04:00,position_open
1185,lower,2022-08-22 03:51:00-04:00,position_open
1193,lower,2022-08-23 02:36:00-04:00,position_open
1201,lower,2022-09-06 10:13:00-04:00,position_open
1198,upper,2022-09-12 04:42:00-04:00,sal_active
1199,upper,2022-09-12 10:00:00-04:00,sal_active
1222,upper,2022-10-04 02:46:00-04:00,sal_active
1221,upper,2022-10-04 10:01:00-04:00,sal_active
1217,upper,2022-10-04 10:12:00-04:00,sal_active
1225,lower,2022-10-07 10:01:00-04:00,position_open
1228,lower,2022-10-11 09:58:00-04:00,position_open
1230,lower,2022-10-13 08:30:00-04:00,position_open
1238,upper,2022-10-25 09:54:00-04:00,sal_active
1234,upper,2022-10-25 09:55:00-04:00,sal_active
1236,lower,2022-11-03 07:28:00-04:00,position_open
1233,lower,2022-11-03 09:44:00-04:00,sal_active
1237,lower,2022-11-03 09:45:00-04:00,sal_active
1240,upper,2022-11-11 02:46:00-05:00,sal_active
1253,upper,2022-11-15 08:30:00-05:00,sal_active
1253,lower,2022-11-17 09:00:00-05:00,position_open
1267,lower,2022-12-06 09:57:00-05:00,position_open
1258,lower,2022-12-07 07:21:00-05:00,sal_active
1264,lower,2022-12-07 07:27:00-05:00,sal_active
1268,upper,2022-12-13 08:29:00-05:00,position_open
1254,upper,2022-12-13 08:30:00-05:00,sal_active
1266,upper,2022-12-13 08:30:00-05:00,sal_active
1271,lower,2022-12-16 04:25:00-05:00,position_open
1283,upper,2023-01-09 09:31:00-05:00,position_open
1288,upper,2023-01-09 09:32:00-05:00,position_open
1278,upper,2023-01-12 08:28:00-05:00,position_open
1296,upper,2023-01-18 08:30:00-05:00,position_open
1298,upper,2023-01-23 10:47:00-05:00,sal_active
1310,lower,2023-02-10 05:02:00-05:00,position_open
1311,lower,2023-02-10 05:02:00-05:00,position_open
1323,lower,2023-03-01 20:40:00-05:00,sal_active
1324,upper,2023-03-06 10:17:00-05:00,position_open
1344,lower,2023-03-28 10:00:00-04:00,sal_active
1348,upper,2023-03-30 08:11:00-04:00,sal_active
1344,upper,2023-03-30 10:00:00-04:00,sal_active
1346,upper,2023-03-30 10:28:00-04:00,sal_active
1351,lower,2023-04-05 10:44:00-04:00,position_open
1365,lower,2023-04-25 10:35:00-04:00,position_open
1357,upper,2023-05-01 02:42:00-04:00,sal_active
1359,upper,2023-05-01 02:42:00-04:00,sal_active
1376,upper,2023-05-10 09:32:00-04:00,position_open
1375,upper,2023-05-10 10:04:00-04:00,position_open
1370,upper,2023-05-10 10:08:00-04:00,position_open
1361,upper,2023-05-11 04:17:00-04:00,position_open
1386,lower,2023-05-24 03:03:00-04:00,position_open
1385,upper,2023-05-26 07:42:00-04:00,position_open
1395,upper,2023-06-12 00:00:00-04:00,position_open
1396,upper,2023-06-12 00:00:00-04:00,position_open
1394,upper,2023-06-12 01:07:00-04:00,sal_active
1399,upper,2023-06-12 02:16:00-04:00,sal_active
